adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Drama', 'Romance']",707610,"Da-hee gets married to Min-soo who is older than her. Thanks to him, he also gets a son who is not too old, Jae-hyuk, who she tries to get acquainted with, albeit awkwardly. After staying with Na-yeon, she suddenly has to meet Jae-hyuk, and Na-yeon has a date with Jae-hyuk. Min-soo is surprised to find three people coming back home from a date. It made him angry to see his son with two women. Right away, Min-soo seeks Da-hee and asks about Na-yeon. Na-yeon met Min-soo secretly. However, Da-hee who is aware of Min-soo and Da-hee's relationship, shares this fact to Jae-hyun.",122.271,['South Korea'],2020-05-06,0,69,['한국어/조선말'],Released,Bosomy Mom,False,5.9,11
False,90000000,"['Action', 'Science Fiction', 'Comedy', 'Family']",454626,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",109.396,"['Japan', 'United States of America']",2020-02-12,319715683,99,['English'],Released,Sonic the Hedgehog,False,7.313,9512
False,15700000,"['Animation', 'Action', 'Fantasy', 'Thriller']",635302,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",80.328,['Japan'],2020-10-16,507119058,117,['日本語'],Released,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,8.21,3952
False,0,"['Family', 'Fantasy', 'Adventure', 'Comedy']",654028,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.",85.168,['United States of America'],2020-11-18,0,112,['English'],Released,The Christmas Chronicles: Part Two,False,6.46,1036
False,90000000,"['Thriller', 'Action', 'Crime']",38700,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",54.763,['United States of America'],2020-01-15,426505244,124,"['English', 'Español']",Released,Bad Boys for Life,False,7.14,8256
False,0,['Romance'],711978,"Min-soo and Jae-hyeok is in a good father-and-son relationship. But one day, Min-soo brings Jae-hyeok's young stepmother, Da-hee. Jae-hyeok leaves home to wander around, ran into Da-hee's friend, Na-yeon, and had a little talk. Na-yeon calls Da-hee... Da-hee goes home with Jae-hyeok, and Min-soo doesn't care much. Jae-hyeok tells Da-hee how he feels. Meanwhile, Min-soo who disapproves Da-hee and Jae-hyeok's relationship, calls Na-yeon to kill some time. And Na-yeon who is worried about Da-hee and Min-soo crafts a new plan...",69.402,['South Korea'],2020-05-27,0,69,['한국어/조선말'],Released,Bosomy Mom 2,False,5.2,5
False,0,['Romance'],724109,"An omnibus movie about the jealousy of a man who can't stand the fact that his favorite woman slept with another man in two episodes.  Episode 1  At a drinking party led by Jae-hoon, movie director Sang-min meets Hye-jin. Sang-min compliments and sleeps with her favorite Hye-jin while watching her movie. The next morning, Hye-jin's friend Mina left early because of her job, Jae-hoon and Sang-min, who were watching a movie together in Hye-jin's bed are attracted by the atmosphere and curiosity and enjoy 2 to 1.  Episode 2  Sang-min meets his school friend Ji-eun at the club.  When his foreign friend James showed interest in Ji-eun, Sang-min suddenly became interested in Ji-eun.  That night, Sang-min finds out that Ji-eun slept with James, and visits Ji-eun's house with complex emotions mixed with like, anger and jealousy and confesses that he likes her.",47.447,['South Korea'],2020-07-06,0,95,['한국어/조선말'],Released,Hole-in-law,False,6.4,9
False,150000000,"['Animation', 'Family', 'Comedy', 'Fantasy']",508442,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",64.329,['United States of America'],2020-12-25,121977511,101,['English'],Released,Soul,False,8.122,10455
False,14000000,"['Romance', 'Drama']",613504,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,66.739,['United States of America'],2020-09-02,48000000,105,['English'],Released,After We Collided,False,7.175,5295
False,65000000,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",529203,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",52.145,['United States of America'],2020-11-25,215905815,95,['English'],Released,The Croods: A New Age,False,7.479,3828
