adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Animation', 'Documentary']",426889,"Women are lucky, they get to have the only organ in the human body dedicated exclusively for pleasure: the clitoris! In this humorous and instructive animated documentary, find out its unrecognized anatomy and its unknown herstory.",168.804,['Canada'],2016-06-18,0,3,['Français'],Released,Le clitoris,False,6.1,11
False,150000000,"['Adventure', 'Comedy', 'Family', 'Animation']",277834,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",124.31,['United States of America'],2016-10-13,690860472,107,['English'],Released,Moana,False,7.6,12568
False,150000000,"['Animation', 'Adventure', 'Family', 'Comedy']",269149,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",105.069,['United States of America'],2016-02-11,1023784195,109,['English'],Released,Zootopia,False,7.8,16324
False,58000000,"['Action', 'Adventure', 'Comedy']",293660,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",98.308,['United States of America'],2016-02-09,782837347,108,['English'],Released,Deadpool,False,7.624,31069
False,40000000,"['Drama', 'History', 'War']",324786,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",93.79,"['Australia', 'United Kingdom', 'United States of America']",2016-10-07,175302354,139,"['日本語', 'English']",Released,Hacksaw Ridge,False,8.196,13743
False,8500000,"['Horror', 'Thriller', 'Action']",396535,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",91.133,['South Korea'],2016-07-20,87547518,118,['한국어/조선말'],Released,Train to Busan,False,7.758,7446
False,0,"['Action', 'Drama']",348893,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.",90.996,['Bulgaria'],2016-08-01,413334,87,['English'],Released,Boyka: Undisputed IV,False,7.2,1313
False,0,"['Animation', 'Romance', 'Drama']",372058,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",90.848,['Japan'],2016-08-26,358000000,106,['日本語'],Released,Your Name.,False,8.485,11416
False,20000000,"['Drama', 'Romance']",296096,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",86.647,['United States of America'],2016-06-01,207945075,110,['English'],Released,Me Before You,False,7.929,12400
False,50000000,"['War', 'Action', 'History', 'Drama']",300671,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,70.467,['United States of America'],2016-01-14,69411370,144,"['العربية', 'English']",Released,13 Hours: The Secret Soldiers of Benghazi,False,7.266,3543
