adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Romance', 'Drama']",482600,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",357.55,['South Korea'],2017-02-09,0,91,['한국어/조선말'],Released,Japanese Mom,False,6.2,28
False,0,"['Drama', 'Romance']",370663,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,158.389,['Canada'],2017-02-10,33673,92,['English'],Released,Below Her Mouth,False,6.819,1183
False,175000000,"['Family', 'Animation', 'Music', 'Adventure']",354912,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",125.812,['United States of America'],2017-10-27,807816196,105,"['English', 'Español']",Released,Coco,False,8.208,19530
False,150000000,"['Science Fiction', 'Drama']",335984,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",111.848,"['Canada', 'United Kingdom', 'United States of America']",2017-10-04,259239658,164,"['English', 'suomi', 'Magyar', '日本語', 'Pусский', 'Somali', 'Español']",Released,Blade Runner 2049,False,7.57,13655
False,300000000,"['Action', 'Adventure', 'Science Fiction']",141052,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",102.316,['United States of America'],2017-11-15,661326987,120,['English'],Released,Justice League,False,6.081,12933
False,175000000,"['Action', 'Adventure', 'Science Fiction', 'Drama']",315635,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",90.316,['United States of America'],2017-07-05,880166924,133,['English'],Released,Spider-Man: Homecoming,False,7.334,21788
False,40000000,"['Action', 'Thriller', 'Crime']",324552,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",84.914,['United States of America'],2017-02-08,171539887,122,"['English', 'עִבְרִית', 'Italiano', 'Pусский']",Released,John Wick: Chapter 2,False,7.335,13036
False,160000000,"['Family', 'Fantasy', 'Romance']",321612,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,95.838,['United States of America'],2017-03-16,1266115964,129,"['English', 'Français']",Released,Beauty and the Beast,False,6.97,15416
False,217000000,"['Action', 'Adventure', 'Science Fiction']",335988,"Humans and Transformers are at war. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. Saving our world falls upon the shoulders of an unlikely alliance: Cade Yeager; Bumblebee; an English Lord; and an Oxford Professor.",85.182,['United States of America'],2017-06-16,605425157,154,['English'],Released,Transformers: The Last Knight,False,6.055,6184
False,104000000,"['Action', 'Adventure', 'Comedy']",343668,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",62.441,"['United Kingdom', 'United States of America']",2017-09-20,410902662,141,"['svenska', 'English', 'Italiano']",Released,Kingsman: The Golden Circle,False,6.967,10337
