adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Romance', 'Drama']",1010581,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",520.209,['Spain'],2023-06-08,0,117,['Español'],Released,My Fault,False,7.9,3102
False,0,"['Drama', 'Romance']",1149913,,297.414,[],2023-04-06,0,0,['Bahasa indonesia'],Released,TOGEFILM - Mei Mei,False,10.0,1
False,100000000,"['Animation', 'Action', 'Adventure', 'Science Fiction']",569094,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",214.001,['United States of America'],2023-05-31,690897910,140,"['English', 'हिन्दी', 'Italiano', 'Español']",Released,Spider-Man: Across the Spider-Verse,False,8.354,7058
False,340000000,"['Action', 'Crime', 'Thriller']",385687,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",212.442,['United States of America'],2023-05-17,704709660,142,"['Español', 'English']",Released,Fast X,False,7.075,5615
False,195000000,"['Science Fiction', 'Adventure', 'Action']",667538,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",210.893,['United States of America'],2023-06-06,439000000,127,"['', 'Español', 'English']",Released,Transformers: Rise of the Beasts,False,7.287,4642
False,0,"['Action', 'Science Fiction']",1144962,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",201.729,['United States of America'],2023-06-09,65452,84,['English'],Released,Transmorphers: Mech Beasts,False,5.5,30
False,90000000,"['Action', 'Thriller', 'Crime']",603692,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",185.797,"['Germany', 'United States of America']",2023-03-22,440157245,170,"['العربية', '广州话 / 廣州話', 'English', 'Français', 'Deutsch', '日本語', 'Latin', 'Pусский', 'Español']",Released,John Wick: Chapter 4,False,7.73,6588
False,72000000,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",940551,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",181.565,['United States of America'],2023-12-06,298776052,83,['English'],Released,Migration,False,7.435,1841
False,10000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",269509,"An American family moves in to the Canterville Chase, a London mansion that has been haunted by ghost Sir Simon De Canterville for 300 years.",164.273,"['Canada', 'United Kingdom']",2023-09-22,2000000,89,['English'],Released,The Canterville Ghost,False,6.3,27
False,100000000,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",502356,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",155.907,"['Japan', 'United States of America']",2023-04-05,1362000000,93,['English'],Released,The Super Mario Bros. Movie,False,7.642,9211
False,0,"['Action', 'Thriller']",1145491,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",166.954,[],2023-07-11,0,80,['English'],Released,Operation Black Ops,False,5.5,40
False,0,"['Romance', 'Drama']",1231818,"Yeong-tak and Ha-na are stepsiblings who live with the support of their divorced adoptive parents. The two begin taking individual private lessons for their respective careers. Yeong-tak secretly gives his acting teacher Na-ri sleeping pills to covet her body, while Ha-na is busy seducing her physical education teacher Han-cheol. Meanwhile, Na-ri and Han-cheol run into each other at the stepsiblings' house, fall in love at first sight, and seek revenge on the two who offended them.",143.154,['South Korea'],2023-12-07,0,71,['한국어/조선말'],Released,Purpose of Tutoring,False,7.0,3
False,145000000,"['Comedy', 'Adventure']",346698,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",138.059,"['United Kingdom', 'United States of America']",2023-07-19,1445638421,114,['English'],Released,Barbie,False,7.001,9219
False,0,"['Animation', 'Adventure', 'Action', 'Fantasy', 'Family']",1147400,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",149.136,"['Canada', 'France', 'South Korea', 'United Kingdom']",2023-10-21,0,48,['Français'],Released,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",False,7.2,536
False,125000000,"['Comedy', 'Family', 'Fantasy']",787699,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",140.949,"['United Kingdom', 'United States of America']",2023-12-06,632302312,117,['English'],Released,Wonka,False,7.112,3544
False,291000000,"['Action', 'Adventure']",575264,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",116.437,['United States of America'],2023-07-08,567535383,164,"['Français', 'English', 'Italiano', 'Pусский']",Released,Mission: Impossible - Dead Reckoning Part One,False,7.546,3838
False,100000000,"['Drama', 'History']",872585,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,132.31,"['United Kingdom', 'United States of America']",2023-07-19,952000000,181,"['Nederlands', 'English']",Released,Oppenheimer,False,8.079,9380
False,0,"['Crime', 'Action', 'Mystery', 'Thriller']",824003,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.",130.478,['Italy'],2023-11-30,0,124,['Italiano'],Released,Diabolik - Who Are You?,False,6.4,114
