adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,600,['Horror'],328885,"Linda and Jakob are happily in love until the night Jakob has the first of many horrific nightmares in which Linda appears as a darkly seductive creature. Tormented by thise visions, Jakob asks his best friend Kurt to murder Linda for him, thus beginning a slow descent into madness. Unbeknownst to the two men, Linda is acting under the control of an ancient family curse. Will her love for Jakob overcome the powers of death? Will Kurt give in to his violent urges and kill to protect his friendship? Is there a way to escape the Devil of Kreuzberg?",0.755,['Germany'],2015-05-01,0,50,"['Deutsch', 'Français']",Released,The Devil of Kreuzberg,False,7.5,1
False,0,['Documentary'],366743,"For over a hundred years, Mărculești was a vibrant Jewish agricultural and mercantile community in Bessarabia (now present-day Moldova). In July 1941, the village was the site of an unimaginable atrocity. Seventy-three years later, few speak honestly or completely about what happened. ABSENT is a cinematic portrait of the ghost village of Mărculești, its current inhabitants, and their very complex relationship to their own history. Filmed entirely on location, the film documents one of Europe's poorest, most remote, and least-visited places.",1.314,"['Switzerland', 'United States of America', 'Romania']",2015-11-10,0,71,"['English', 'Română', 'Pусский']",Released,Absent,False,5.8,4
False,0,[],326394,"We see a lot. But don't remember much. The greatest moments of our existence aren't retained. And neither are our worst. Authenticity means jack anymore. And that isn't right. How is this age going to be remembered in 200 years? 500? We live in an age of transitional technology. Everything is instantaneous. Cheap. Silly. It appears and it disappears just as fast. But this time we got the band together. And did it our way. This is our bookmark. Our full stop. It is an actual document of individuality and modern surfing and living and romping and laughing. Collect it and recollect on it. Here we are now, entertain us. And we'll take it from there. Enjoy your Coca-Cola tour. We're spiking your soda, then the glass and kicking in the door to the museum.",1.257,[],2015-03-17,0,0,[],Released,Cluster,False,0.0,0
False,0,"['Thriller', 'Science Fiction']",326130,"Clew is the story of Jack Hadrian, a painter living in the mid-21st century who contracts for the purchase of a Muse, a genetically engineered lifeform designed to be his perfect mate, after his fiancée disappears mysteriously.",0.754,['United States of America'],2015-02-27,0,108,['English'],Released,Muse,False,3.5,2
False,0,['Drama'],1264317,"During a walk in the woods a man stumbles upon a gate blocked by a guard who refuses to let him through. Gaining entry quickly becomes his obsession and only goal, to the detriment of all else, including his own physical and mental health.",0.972,['United States of America'],2015-03-20,0,18,['English'],Released,Inertia,False,0.0,1
False,0,[],1123307,The third 'Front and Back' film.,0.754,['Japan'],2015-11-28,0,70,['日本語'],Released,Front and Back Chapter 3,False,8.0,1
False,0,[],683784,A boy finds a body in the woods. Every stare turns to the body.,0.972,['Brazil'],2015-02-02,0,16,['Português'],Released,Body,False,2.0,1
False,0,"['Drama', 'Science Fiction', 'Comedy']",347909,"Bored with the routine? Depressed by the thought of going to bed alone every night? Juliet is the first super-competent companion robot, and she's waiting for you!",0.754,['France'],2015-05-30,0,12,['Français'],Released,Juliet,False,7.3,3
False,0,"['Family', 'Fantasy', 'Adventure', 'Documentary']",1296795,"A Behind the Scenes documentary about ""Julekongen: Full Rustning""",1.757,[],2015-11-13,0,26,['Norsk'],Released,Behind - The Christmas King: In Full Armor,False,0.0,0
False,0,[],1152011,Absolute Intense Wrestling presents I Choo-Choo-Choose You!  Featuring:  AIW Absolute Title Four Way Match  Eddie Kingston vs. Rickey Shane Page vs. Josh Alexander vs. Ethan Page  AIW Intense Title Four Way Match  Davey Vega (c) vs. Tyson Dux vs. Eric Ryan vs. Tracy Williams,0.753,[],2015-02-20,0,0,['English'],Released,AIW I Choo-Choo-Choose You!,False,0.0,0
False,0,['Comedy'],840983,Virginia has left her town of Palos Caídos with the dream of becoming a great businesswoman. Three women will be key in her career but the presence of a Commander and a client from the past will turn her world upside down.,0.753,['Mexico'],2015-12-31,0,83,['Español'],Released,Las nachas de Virginia,False,3.5,2
False,0,"['Comedy', 'Drama', 'Family', 'Thriller']",391870,An overextended teacher bumps into a troubled student while at the mall with her mom.  An adaptation of Stacey Richter's Pushcart Prize winning short story.,1.282,['United States of America'],2015-01-01,0,14,['English'],Released,The First Men,False,5.7,3
False,0,['Documentary'],375116,More than half of all Lego sales come in the last three months of the year. This documentary goes behind the scenes at the secretive superbrand as it prepares for Christmas.,1.757,['United Kingdom'],2015-12-26,0,47,['English'],Released,Inside Lego at Christmas,False,6.0,3
False,0,"['Drama', 'Animation', 'Fantasy']",341687,"Disillusioned with his life in the suburbs of segregated Beirut, Omar's unusual discovery lures him into the depth of the city. Immersed into a world that is so close yet so isolated from his reality, he finds himself struggling to keep his attachments, his sense of home.",1.252,"['Lebanon', 'Qatar']",2015-05-23,0,15,['العربية'],Released,Waves '98,False,6.3,27
False,0,"['Action', 'Science Fiction']",342603,A woman is kept sedated by a cold-blooded kidnapper.,0.782,[],2015-05-31,0,5,[],Released,Strings,False,6.3,3
False,0,[],446955,"Devastated but furious after his girlfriend dumps him on a metro platform, 23-year-old Cedric takes off with his unfinished novel in his bag. Fate leads him to a large, rundown house owned by Isabelle, a onetime star pianist and faded beauty. Isabelle, now a lonely 76-year-old alcoholic, passes her days at her piano and with her group of eccentric boarders. From their first meeting, Cedric knows that Isabelle is the love of his life, and Isabelle realizes he is her last chance for love. Driven by their intoxicating passion for one another, they plunge headlong into a love affair where they are pushed to the brink of hate and death, even escaping reality to keep their love alive.",1.692,['Canada'],2015-09-06,0,0,[],Released,My Enemies,False,0.0,0
