adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Animation', 'Drama', 'Fantasy']",588555,"Rosa's life, a highly valued professional, is turned upside down when her grandfather Marcelino dies.",279.508,"['France', 'Portugal', 'Spain']",2022-09-21,0,85,['Português'],Released,My Grandfather's Demons,False,6.1,7
False,1500000,['War'],1041317,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",266.406,['Canada'],2022-10-06,0,90,"['English', 'Español']",Released,Battle for the Western Front,False,5.7,10
False,0,"['Romance', 'Drama']",829557,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",228.346,['Poland'],2022-04-26,0,111,"['Italiano', 'Español', 'Français', 'Polski', 'English']",Released,365 Days: This Day,False,5.875,1543
False,110000000,"['Action', 'Adventure', 'Family', 'Comedy']",675353,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",196.352,"['Japan', 'United States of America']",2022-03-30,405421518,123,['English'],Released,Sonic the Hedgehog 2,False,7.499,5010
False,250000,"['Horror', 'Thriller']",663712,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",158.662,['United States of America'],2022-10-06,15741780,138,['English'],Released,Terrifier 2,False,6.755,2100
False,90000000,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",315162,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",147.721,['United States of America'],2022-12-07,484700000,103,"['English', 'Español']",Released,Puss in Boots: The Last Wish,False,8.221,7819
False,0,"['Romance', 'Drama']",829560,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,149.798,['Poland'],2022-08-18,0,112,"['Italiano', 'Polski', 'English']",Released,The Next 365 Days,False,6.424,1116
False,17000000,"['Horror', 'Mystery']",882598,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",129.739,['United States of America'],2022-09-23,217408513,115,['English'],Released,Smile,False,6.662,3303
False,170000000,"['Action', 'Drama']",361743,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",134.722,['United States of America'],2022-05-21,1488732821,131,['English'],Released,Top Gun: Maverick,False,8.195,9263
False,185000000,"['Crime', 'Mystery', 'Thriller']",414906,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",120.816,['United States of America'],2022-03-01,771000000,177,['English'],Released,The Batman,False,7.666,10374
False,460000000,"['Science Fiction', 'Adventure', 'Action']",76600,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",135.823,['United States of America'],2022-12-14,2320250281,192,['English'],Released,Avatar: The Way of Water,False,7.62,11972
False,30000000,"['Romance', 'Drama', 'Western']",698508,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,90.737,"['South Africa', 'United States of America']",2022-01-21,9500000,134,['English'],Released,Redeeming Love,False,7.881,540
False,0,"['Animation', 'Drama', 'Romance', 'Fantasy']",916192,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",115.485,['Japan'],2022-09-09,872000,83,['日本語'],Released,"The Tunnel to Summer, the Exit of Goodbyes",False,7.733,172
False,0,"['Romance', 'Drama', 'Comedy']",818647,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",108.239,['Spain'],2022-02-04,0,112,['Español'],Released,Through My Window,False,7.38,3115
False,175000000,"['Animation', 'Family', 'Comedy', 'Fantasy']",508947,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",86.885,['United States of America'],2022-03-10,21328962,100,"['广州话 / 廣州話', '普通话', '한국어/조선말', 'Français', 'English']",Released,Turning Red,False,7.366,5229
False,24500000,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']",601796,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",96.363,['South Korea'],2022-07-20,12109608,142,['한국어/조선말'],Released,Alienoid,False,6.834,435
False,165000000,"['Adventure', 'Action', 'Science Fiction']",507086,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",98.847,['United States of America'],2022-06-01,1001978080,147,['English'],Released,Jurassic World Dominion,False,6.692,6099
False,1000000,"['Horror', 'Mystery', 'Thriller']",760104,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",68.523,['United States of America'],2022-03-17,15113105,106,['English'],Released,X,False,6.752,3275
False,250000000,"['Action', 'Adventure', 'Science Fiction']",505642,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",90.012,['United States of America'],2022-11-09,859102154,162,"['English', 'Français', '', 'Español', '']",Released,Black Panther: Wakanda Forever,False,7.091,6528
False,119,"['Romance', 'Drama']",851644,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",89.248,['South Korea'],2022-10-06,0,119,['한국어/조선말'],Released,20th Century Girl,False,8.156,693
False,20000000,"['Comedy', 'Action']",899112,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",70.896,"['Canada', 'Japan', 'United States of America']",2022-11-30,75734910,111,"['Español', 'English', 'Português']",Released,Violent Night,False,7.307,2139
False,200000000,"['Action', 'Adventure', 'Science Fiction']",436270,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",76.148,['United States of America'],2022-10-19,393452111,125,['English'],Released,Black Adam,False,6.902,6285
False,75000000,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",585083,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",85.782,['United States of America'],2022-01-31,18500000,92,['English'],Released,Hotel Transylvania: Transformania,False,7.077,2769
False,200000000,"['Fantasy', 'Action', 'Adventure']",453395,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",84.563,['United States of America'],2022-05-04,955775804,126,"['广州话 / 廣州話', 'English', 'Español']",Released,Doctor Strange in the Multiverse of Madness,False,7.28,9186
False,0,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",585511,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",74.661,"['Spain', 'United States of America']",2022-08-05,0,105,['English'],Released,Luck,False,7.767,1709
