adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,75000000,"['Animation', 'Family', 'Comedy', 'Fantasy']",360920,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,379.385,['United States of America'],2018-11-08,508600000,85,['English'],Released,The Grinch,False,6.863,3967
False,116000000,"['Science Fiction', 'Action']",335983,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",266.801,"['China', 'United States of America']",2018-09-28,856085151,112,"['普通话', 'English', 'Bahasa melayu']",Released,Venom,False,6.834,16084
False,300000000,"['Adventure', 'Action', 'Science Fiction']",299536,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",167.068,['United States of America'],2018-04-25,2052415039,149,"['English', '']",Released,Avengers: Infinity War,False,8.243,29808
False,90000000,"['Animation', 'Action', 'Adventure', 'Science Fiction']",324857,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",114.788,['United States of America'],2018-12-06,384298736,117,"['English', '日本語', 'Español']",Released,Spider-Man: Into the Spider-Verse,False,8.399,15677
False,35000,"['Horror', 'Thriller']",420634,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,139.024,['United States of America'],2018-01-25,421798,85,['English'],Released,Terrifier,False,6.4,2514
False,55000000,"['Drama', 'Romance']",337167,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",107.491,['United States of America'],2018-01-17,371985018,105,['English'],Released,Fifty Shades Freed,False,6.7,7983
False,62000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",336843,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",86.717,['United States of America'],2018-01-10,288175335,143,['English'],Released,Maze Runner: The Death Cure,False,7.1,7779
False,0,"['Comedy', 'Adventure', 'Family', 'Fantasy']",527435,"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",100.578,['United States of America'],2018-11-22,0,104,['English'],Released,The Christmas Chronicles,False,7.146,2169
False,110000000,"['Action', 'Comedy', 'Adventure']",383498,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,82.254,['United States of America'],2018-05-10,785896632,120,"['广州话 / 廣州話', 'English', 'Pусский', 'Español']",Released,Deadpool 2,False,7.492,17965
False,62000000,"['Action', 'Thriller', 'Crime']",345887,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",100.511,['United States of America'],2018-07-19,190400157,121,"['العربية', 'English', 'Français', 'עִבְרִית', 'Español', 'Türkçe']",Released,The Equalizer 2,False,6.762,5350
False,17000000,"['Horror', 'Drama', 'Science Fiction']",447332,A family is forced to live in silence while hiding from creatures that hunt by sound.,96.118,['United States of America'],2018-04-03,340955294,91,['English'],Released,A Quiet Place,False,7.4,14185
False,175000000,"['Adventure', 'Action', 'Science Fiction']",333339,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",67.331,['United States of America'],2018-03-28,607274134,140,['English'],Released,Ready Player One,False,7.595,15601
False,10000000,"['Horror', 'Mystery', 'Thriller']",493922,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",62.716,['United States of America'],2018-06-07,87825916,128,['English'],Released,Hereditary,False,7.291,7666
False,200000000,"['Action', 'Adventure', 'Science Fiction']",284054,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",65.508,['United States of America'],2018-02-13,1349926083,135,"['English', '한국어/조선말', 'Kiswahili', '']",Released,Black Panther,False,7.382,22177
False,22000000,['Horror'],439079,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,62.92,['United States of America'],2018-09-05,366082797,96,"['普通话', 'Français', 'English', 'Latin', 'Română']",Released,The Nun,False,5.9,6658
False,170000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",351286,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",56.131,['United States of America'],2018-06-06,1310466296,129,"['English', 'Pусский']",Released,Jurassic World: Fallen Kingdom,False,6.5,11773
False,5000000,"['Action', 'Thriller', 'Science Fiction']",500664,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",48.456,"['Australia', 'United States of America']",2018-05-31,16706680,100,['English'],Released,Upgrade,False,7.498,4362
False,150000000,"['Action', 'Science Fiction', 'Horror']",345940,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",76.205,"['China', 'United States of America']",2018-08-09,530517320,113,"['普通话', 'English', '日本語', 'ภาษาไทย']",Released,The Meg,False,6.254,7630
False,28000000,"['Comedy', 'Action']",455980,"For one month every year, five highly competitive friends hit the ground running in a no-holds-barred game of tag they’ve been playing since the first grade. This year, the game coincides with the wedding of their only undefeated player, which should finally make him an easy target. But he knows they’re coming...and he’s ready.",64.265,['United States of America'],2018-05-30,75100000,100,['English'],Released,Tag,False,6.711,3117
False,178000000,"['Action', 'Adventure']",353081,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",55.934,['United States of America'],2018-07-13,791658205,147,"['English', 'Français']",Released,Mission: Impossible - Fallout,False,7.433,8201
False,50000000,"['Drama', 'Action']",480530,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",47.26,['United States of America'],2018-11-21,214200000,130,"['English', 'Pусский']",Released,Creed II,False,7.036,5408
False,35000000,"['Action', 'Crime', 'Thriller']",400535,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,51.106,"['Mexico', 'United States of America']",2018-06-27,75836683,122,"['English', 'Español']",Released,Sicario: Day of the Soldado,False,6.929,3568
False,80000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",400155,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",51.469,['United States of America'],2018-06-28,528600000,97,['English'],Released,Hotel Transylvania 3: Summer Vacation,False,6.864,4403
False,0,"['Comedy', 'Romance']",466282,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,54.143,['United States of America'],2018-08-16,0,100,['English'],Released,To All the Boys I've Loved Before,False,7.6,8358
False,150000000,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",268896,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",41.949,['United States of America'],2018-03-21,290061297,111,['English'],Released,Pacific Rim: Uprising,False,6.1,4930
