adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,178.836,"['United Kingdom', 'United States of America']",2014-11-05,701729206,169,['English'],Released,Interstellar,False,8.445,35791
False,55000000,"['Thriller', 'Action', 'Crime']",156022,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",136.16,['United States of America'],2014-09-24,192330738,132,['English'],Released,The Equalizer,False,7.282,9041
False,34000000,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",198663,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",136.733,"['United States of America', 'United Kingdom']",2014-09-10,348319861,113,['English'],Released,The Maze Runner,False,7.189,17000
False,68000000,"['War', 'Drama', 'Action']",228150,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",104.378,['United States of America'],2014-10-15,211817906,135,"['English', 'Deutsch', 'Español']",Released,Fury,False,7.539,11944
False,250000000,"['Action', 'Adventure', 'Fantasy']",122917,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",110.486,"['New Zealand', 'United States of America']",2014-12-10,956019788,144,['English'],Released,The Hobbit: The Battle of the Five Armies,False,7.323,14258
False,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",124.985,['United States of America'],2014-10-24,657870525,102,['English'],Released,Big Hero 6,False,7.7,15609
False,145000000,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",82702,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",99.205,['United States of America'],2014-06-05,621537519,102,['English'],Released,How to Train Your Dragon 2,False,7.7,9574
False,210000000,"['Science Fiction', 'Action', 'Adventure']",91314,"As humanity picks up the pieces after the battle of Chicago, a shadowy group reveals itself in an attempt to control the direction of history…while an ancient, powerful new menace sets Earth in its crosshairs. With help from Cade Yeager, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet.",101.038,['United States of America'],2014-06-25,1104054072,165,"['普通话', 'English']",Released,Transformers: Age of Extinction,False,5.939,8129
False,48000000,"['Thriller', 'Action']",260346,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",78.867,"['France', 'Spain', 'United States of America']",2014-12-16,325800000,109,['English'],Released,Taken 3,False,6.3,5740
False,61000000,"['Mystery', 'Thriller', 'Drama']",210577,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",86.374,['United States of America'],2014-10-01,370890259,149,['English'],Released,Gone Girl,False,7.892,18598
False,14000000,['Thriller'],72784,"For five men, the opportunity to share a penthouse in the city -- in which to carry on extramarital affairs -- is a dream come true, until the dead body of an unknown woman turns up. Realizing that her killer must be one of their group, the men are gripped by paranoia as each one suspects another. Friendships are tested, loyalties are questioned, and marriages crumble while fear and suspicion run rampant.",93.596,"['United States of America', 'Belgium']",2014-10-14,10100000,108,['English'],Released,The Loft,False,6.411,1437
False,20000000,"['Action', 'Thriller']",245891,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,66.539,['United States of America'],2014-10-22,88761661,101,"['Magyar', 'English', 'Pусский']",Released,John Wick,False,7.441,19206
False,200000000,"['Action', 'Adventure', 'Science Fiction']",102382,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.533,['United States of America'],2014-04-16,708962323,141,['English'],Released,The Amazing Spider-Man 2,False,6.513,13224
False,125000000,"['Science Fiction', 'Adventure', 'Thriller']",131631,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,73.717,['United States of America'],2014-11-19,755356711,123,['English'],Released,The Hunger Games: Mockingjay - Part 1,False,6.813,15772
False,3300000,"['Drama', 'Music']",244786,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",100.15,['United States of America'],2014-10-10,50307484,107,['English'],Released,Whiplash,False,8.379,15149
False,132000000,"['Family', 'Animation', 'Adventure', 'Comedy']",270946,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",71.596,['United States of America'],2014-11-22,373552094,92,['English'],Released,Penguins of Madagascar,False,6.529,4145
False,125000000,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",98566,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",57.693,['United States of America'],2014-08-07,485000000,101,['English'],Released,Teenage Mutant Ninja Turtles,False,5.92,6768
False,14000000,"['History', 'Drama', 'Thriller', 'War']",205596,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",66.332,['United States of America'],2014-11-14,233600000,113,['English'],Released,The Imitation Game,False,7.998,16999
False,178000000,"['Action', 'Science Fiction']",137113,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",53.644,['United States of America'],2014-05-27,370541256,114,['English'],Released,Edge of Tomorrow,False,7.625,13824
