adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,120000000,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",912649,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",9823.665,['United States of America'],2024-10-22,468513700,109,['English'],Released,Venom: The Last Dance,False,6.755,1462
False,150000000,"['Animation', 'Adventure', 'Family', 'Comedy']",1241982,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",3893.381,"['Canada', 'United States of America']",2024-11-21,600055655,100,['English'],Released,Moana 2,False,6.9,484
False,0,"['Action', 'Science Fiction', 'Thriller']",1035048,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2146.632,['United States of America'],2024-11-07,0,91,['English'],Released,Elevation,False,6.5,158
False,250000000,"['Action', 'Fantasy', 'Comedy']",845781,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",2414.156,['United States of America'],2024-10-31,166519096,124,['English'],Released,Red One,False,6.9,521
False,30000000,"['Action', 'Crime', 'Thriller']",974453,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",1518.335,['United States of America'],2024-10-31,0,112,['English'],Released,Absolution,False,6.091,132
False,11500000,"['Action', 'Crime', 'Thriller']",1182387,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",1314.269,['United States of America'],2024-10-30,0,89,['English'],Released,Armor,False,5.522,68
False,0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure']",645757,It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans — including Santa's.,1400.733,['United Kingdom'],2024-11-27,0,97,['English'],Released,That Christmas,False,7.622,119
False,0,"['Animation', 'Adventure', 'Action', 'Fantasy']",1147416,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",1235.591,['France'],2024-11-14,0,50,['Français'],Released,"Miraculous World, London: At the Edge of Time",False,8.283,46
False,0,"['Animation', 'Mystery', 'Science Fiction', 'Action']",1299652,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",1155.315,['United States of America'],2024-11-25,0,89,['English'],Released,Watchmen: Chapter II,False,7.449,49
False,110000000,"['Action', 'Adventure', 'Thriller']",539972,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",1119.248,['United States of America'],2024-12-11,0,127,"['English', 'Pусский']",Released,Kraven the Hunter,False,5.4,66
False,30000000,"['Action', 'Adventure', 'Thriller']",1167271,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",1094.967,"['France', 'Taiwan']",2024-09-19,2826064,101,[],Released,Weekend in Taipei,False,6.14,68
False,78000000,"['Animation', 'Action', 'Science Fiction', 'Family']",1184918,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",973.601,['United States of America'],2024-09-08,321836235,102,['English'],Released,The Wild Robot,False,8.393,3419
False,310000000,"['Action', 'Adventure', 'History']",558449,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",960.733,['United States of America'],2024-11-05,368092895,148,['English'],Released,Gladiator II,False,6.7,1073
False,0,"['Comedy', 'Romance', 'TV Movie']",957119,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",851.169,"['Canada', 'United States of America']",2024-11-29,0,99,['English'],Released,Sidelined: The QB and Me,False,6.424,66
False,200000000,"['Action', 'Comedy', 'Science Fiction']",533535,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",814.6,['United States of America'],2024-07-24,1338073382,128,['English'],Released,Deadpool & Wolverine,False,7.7,5898
False,17500000,"['Horror', 'Science Fiction']",933260,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",806.876,"['France', 'United Kingdom']",2024-09-07,54130377,141,['English'],Released,The Substance,False,7.244,2566
False,0,"['Thriller', 'Crime', 'Mystery', 'Action']",1252470,"After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.",796.991,['India'],2024-11-29,0,143,['हिन्दी'],Released,Sikandar Ka Muqaddar,False,6.0,10
False,10000000,"['Horror', 'Thriller']",1138194,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",771.261,['United States of America'],2024-10-31,31907891,111,"['Dansk', 'English']",Released,Heretic,False,7.063,263
False,150000000,"['Drama', 'Romance', 'Fantasy']",402431,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",795.796,['United States of America'],2024-11-20,455551000,160,['English'],Released,Wicked,False,7.593,536
False,0,"['Action', 'Crime', 'Drama']",1171640,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",754.107,"['Belgium', 'France']",2024-11-19,0,100,['Français'],Released,GTMAX,False,6.149,74
False,28000000,"['Horror', 'Mystery']",1100782,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",825.762,['United States of America'],2024-10-16,138038364,127,['English'],Released,Smile 2,False,6.6,920
